table_name,column_name,definition
Standard Stats,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Standard Stats,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Standard Stats,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Standard Stats,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Standard Stats,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Standard Stats,Born,Year of birth
Standard Stats,MP,Matches PlayedMatches Played by the player or squad
Standard Stats,Starts,Game or games started by player
Standard Stats,Min,Minutes
Standard Stats,90s,90s Played90s playedMinutes played divided by 90
Standard Stats,Gls,GoalsGoals scored or allowed
Standard Stats,Ast,AssistsAssists
Standard Stats,G+A,Goals + AssistsGoals and Assists
Standard Stats,G-PK,Non-Penalty GoalsNon-Penalty Goals
Standard Stats,PK,Penalty Kicks MadePenalty Kicks Made
Standard Stats,PKatt,Penalty Kicks AttemptedPenalty Kicks Attempted
Standard Stats,CrdY,Yellow CardsYellow Cards
Standard Stats,CrdR,Red CardsRed Cards
Standard Stats,xG,"xG: Expected GoalsExpected GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Standard Stats,npxG,"npxG: Non-Penalty xGNon-Penalty Expected GoalsProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Standard Stats,xAG,"xAG: Exp. Assisted GoalsExpected Assisted GoalsxG which follows a pass that assists a shotProvided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Standard Stats,npxG+xAG,"npxG + xAGNon-Penalty Expected Goals plus Assisted GoalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader"
Standard Stats,PrgC,"Progressive CarriesCarries that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any carry into the penalty area. Excludes carries which end in the defending 50% of the pitch"
Standard Stats,PrgP,"Progressive PassesProgressive PassesCompleted passes that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch"
Standard Stats,PrgR,"Progressive Passes RecProgressive Passes ReceivedCompleted passes that move the ball towards the opponent's goal line at least 10 yards from its furthest point in the last six passes, or any completed pass into the penalty area. Excludes passes from the defending 40% of the pitch"
Standard Stats,G+A-PK,Non-Penalty Goals + Assists/90Goals plus Assists minus Penalty Kicks made per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader
Standard Stats,xG+xAG,"xG + xAG/90Expected Goals plus Assisted Goals per 90 minutesxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available.Minimum 30 minutes played per squad game to qualify as a leader"
Goalkeeping,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
