Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 30_level_0_Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,3,86,29,2.5,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.82,2.3,0.3,+2.0,+2.12,+1.75,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,4,120,30,3.5,1.3,1,73,0,3,16,14,0.75,1,3,-2,-1.50,-1.28,1.5,3.7,-2.3,-1.69,-1.52,Matches
3,Álvaro Abajas,es ESP,GK,Leganés,es La Liga,21,2003,0,,,,,0,,0,0,,33,,,,,,,,,,,,Matches
4,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,1,65,65,1.9,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-1.14,1.4,0.7,+0.7,+0.93,+1.18,Matches
5,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,6,88,15,2.6,1.0,0,,0,6,15,12,1.67,2,0,+2,+2.05,+2.50,0.6,1.5,-0.9,-0.91,-0.54,Matches
6,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,18,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
7,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,1,3,3,0.1,0.0,0,,0,1,3,7,3.00,0,0,0,0.00,-0.79,0.0,0.0,0.0,-0.49,-1.03,Matches
8,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,16,1033,65,33.8,11.5,11,85,9,5,19,17,0.94,5,31,-26,-2.27,-1.73,8.0,26.4,-18.4,-1.67,-0.82,Matches
9,Jones El-Abdellaoui,ma MAR,FW,Celta Vigo,es La Liga,18,2006,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
10,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,32,2842,89,92.9,31.6,32,89,25,0,,0,1.03,28,50,-22,-0.70,-1.11,30.8,54.2,-23.4,-0.74,-1.38,Matches
11,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,12,855,71,27.9,9.5,10,83,8,2,12,12,1.92,15,14,+1,+0.11,-0.87,16.5,11.5,+5.0,+0.53,-0.14,Matches
12,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,25,1393,56,45.5,15.5,17,77,6,8,10,1,1.80,26,16,+10,+0.65,-0.16,26.2,18.0,+8.3,+0.54,-0.17,Matches
13,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,4,205,51,6.0,2.3,2,62,0,2,41,27,1.50,4,1,+3,+1.32,+0.81,3.6,1.5,+2.1,+0.92,+0.64,Matches
14,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,7,263,38,7.7,2.9,4,63,1,3,4,7,1.14,1,2,-1,-0.34,-0.23,1.8,1.6,+0.2,+0.07,+0.34,Matches
15,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,1,7,7,0.2,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.08,0.0,0.0,0.0,-0.61,-0.68,Matches
16,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,34,2768,81,90.5,30.8,33,83,12,1,23,0,1.06,34,42,-8,-0.26,+1.28,34.6,47.0,-12.5,-0.41,+0.78,Matches
17,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,19,1090,57,35.6,12.1,12,83,6,7,14,13,1.84,18,15,+3,+0.25,-0.48,21.3,15.5,+5.8,+0.48,+0.08,Matches
18,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,26,1901,73,62.1,21.1,22,82,9,4,25,0,1.31,22,23,-1,-0.05,-0.20,29.0,22.9,+6.1,+0.29,-0.19,Matches
19,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,29,2463,85,72.0,27.4,29,85,24,0,,0,1.03,30,41,-11,-0.40,-0.50,32.0,33.4,-1.4,-0.05,+0.21,Matches
20,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,1,1,1,0.0,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,-0.55,0.0,0.1,0.0,-3.09,-3.41,Matches
21,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,28,1183,42,34.6,13.1,12,70,2,16,22,6,1.75,27,14,+13,+0.99,+0.79,24.1,12.8,+11.3,+0.86,+0.41,Matches
22,Vicent Abril,es ESP,GK,Valencia,es La Liga,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
23,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,19,2004,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
24,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,1,5,5,0.1,0.1,0,,0,1,5,11,0.00,0,0,0,0.00,+0.32,0.0,0.0,0.0,+0.71,+0.98,Matches
25,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,23,1710,74,50.0,19.0,20,83,18,3,17,7,2.04,31,21,+10,+0.53,-1.26,30.3,23.0,+7.4,+0.39,-0.83,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
