Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 34_level_0_Matches
1,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-335,2000,13.0,21,2,0,2,0,18.5,0.28,-2.5,-0.19,53,157,33.8,345,55,33.0,32.4,76,56.6,47.1,167,19,11.4,25,1.92,15.6,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,33-055,1992,7.0,10,0,0,2,0,9.0,0.40,-1.0,-0.15,23,61,37.7,265,36,21.1,28.8,17,29.4,30.4,88,5,5.7,8,1.14,14.0,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-272,1993,8.0,14,2,0,3,0,14.2,0.29,+0.2,+0.03,47,161,29.2,198,41,50.5,39.3,76,80.3,55.1,153,9,5.9,1,0.13,6.6,Matches
4,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-185,2002,11.0,20,0,0,4,0,18.1,0.38,-1.9,-0.18,90,234,38.5,425,36,44.2,37.5,58,79.3,58.5,128,6,4.7,18,1.64,17.4,Matches
5,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-312,1997,8.0,9,1,0,0,0,9.4,0.21,+0.4,+0.04,39,158,24.7,328,43,39.0,35.1,45,66.7,48.1,122,15,12.3,7,0.88,11.9,Matches
6,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-224,2004,9.0,16,2,0,1,1,15.8,0.31,+0.8,+0.09,15,51,29.4,291,57,13.7,26.6,34,32.4,38.2,150,18,12.0,13,1.44,12.5,Matches
7,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-210,1996,13.0,14,2,0,1,0,16.0,0.29,+2.0,+0.15,74,212,34.9,429,47,42.2,39.2,53,58.5,49.1,161,15,9.3,24,1.85,16.2,Matches
8,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35-177,1990,11.0,17,2,0,4,0,15.8,0.32,-1.2,-0.11,52,166,31.3,389,36,36.5,34.1,47,51.1,41.9,178,10,5.6,29,2.64,17.8,Matches
9,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-226,1998,6.0,11,0,0,2,0,9.4,0.43,-1.6,-0.26,28,95,29.5,176,15,47.7,37.5,16,68.8,49.1,63,6,9.5,7,1.17,13.0,Matches
10,Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,23-082,2002,3.0,5,0,0,0,0,4.6,0.27,-0.4,-0.15,24,57,42.1,78,14,51.3,42.2,20,85.0,64.5,51,3,5.9,10,3.33,15.4,Matches
