Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 21_level_0_Int,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-040,2000,8.8,25,13,11,9,5,14,27,51.9,13,14,1,13,7,32,10,0,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19-323,2006,1.5,1,0,0,1,0,1,4,25.0,3,0,0,0,1,2,5,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-014,1999,8.5,16,11,7,7,2,13,16,81.3,3,14,3,11,12,28,10,1,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-346,1993,3.9,8,2,5,2,1,1,3,33.3,2,1,0,1,3,11,9,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-250,2000,5.4,7,2,5,1,1,5,8,62.5,3,2,0,2,7,14,3,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-136,1999,2.4,10,6,7,2,1,7,11,63.6,4,4,1,3,2,12,4,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-303,1993,12.5,21,13,10,6,5,9,22,40.9,13,5,0,5,10,31,24,1,Matches
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-248,2003,11.9,12,7,5,4,3,5,7,71.4,2,3,0,3,2,14,6,0,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-188,2000,7.0,9,6,6,3,0,6,8,75.0,2,3,1,2,3,12,17,0,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-286,2000,1.8,7,4,3,2,2,6,7,85.7,1,2,0,2,0,7,0,0,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-266,1999,6.5,19,12,13,6,0,11,13,84.6,2,9,4,5,7,26,33,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-218,2001,5.8,19,14,7,10,2,8,12,66.7,4,8,3,5,8,27,10,2,Matches
13,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-296,2003,3.1,9,5,6,3,0,4,8,50.0,4,5,1,4,1,10,4,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-294,1988,8.6,7,5,4,2,1,1,2,50.0,1,13,10,3,14,21,52,0,Matches
15,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-126,1998,4.6,4,3,0,2,2,1,4,25.0,3,2,0,2,0,4,13,0,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-210,2006,3.9,2,2,1,1,0,1,2,50.0,1,6,2,4,7,9,13,4,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-306,2000,7.5,4,2,2,1,1,1,2,50.0,1,7,1,6,0,4,9,1,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-141,1996,6.4,3,3,2,0,1,1,4,25.0,3,1,0,1,1,4,5,0,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-290,1999,12.2,34,15,14,14,6,22,35,62.9,13,18,4,14,20,54,23,0,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-178,2001,4.8,9,5,8,1,0,2,3,66.7,1,3,2,1,6,15,5,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-068,1997,5.2,12,5,6,5,1,1,2,50.0,1,4,3,1,5,17,30,0,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-097,2005,5.7,5,2,1,3,1,0,3,0.0,3,5,1,4,2,7,1,0,Matches
23,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23-317,2002,6.6,3,2,2,0,1,0,4,0.0,4,4,0,4,4,7,1,0,Matches
24,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,23-334,2002,3.3,4,3,1,2,1,2,3,66.7,1,1,0,1,0,4,5,0,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-102,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
