Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-040,2000,8.8,28,3.19,15,0,4,5,3,1,4,0.46,2,0,0,2,0,0,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19-323,2006,1.5,6,3.88,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-014,1999,8.5,22,2.59,16,3,2,1,0,0,2,0.24,2,0,0,0,0,0,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-346,1993,3.9,6,1.61,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-250,2000,5.4,5,0.93,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-136,1999,2.4,4,1.67,4,0,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-303,1993,12.5,30,2.40,26,1,0,2,1,0,1,0.08,1,0,0,0,0,0,Matches
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-248,2003,11.9,41,3.46,23,0,8,6,4,0,3,0.25,0,0,2,1,0,0,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-188,2000,7.0,18,2.57,11,1,3,3,0,0,1,0.14,1,0,0,0,0,0,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-286,2000,1.8,2,1.09,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-266,1999,6.5,2,0.31,1,0,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-218,2001,5.8,7,1.20,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
13,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-296,2003,3.1,7,2.23,2,2,1,1,0,1,1,0.32,1,0,0,0,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-294,1988,8.6,6,0.70,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
15,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-126,1998,4.6,13,2.80,8,0,0,2,3,0,4,0.86,3,0,0,0,1,0,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-210,2006,3.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-306,2000,7.5,9,1.21,6,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-141,1996,6.4,14,2.20,11,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-290,1999,12.2,13,1.06,12,0,0,0,0,1,3,0.25,2,0,0,0,0,1,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-178,2001,4.8,9,1.87,6,0,0,2,0,1,2,0.41,1,0,0,1,0,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-068,1997,5.2,1,0.19,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-097,2005,5.7,11,1.94,7,1,2,1,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23-317,2002,6.6,28,4.23,19,0,6,0,3,0,5,0.76,3,0,1,0,1,0,Matches
24,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,23-334,2002,3.3,8,2.39,7,0,1,0,0,0,1,0.30,1,0,0,0,0,0,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-102,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-205,2000,3.5,14,3.99,10,0,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches
27,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-203,2006,1.4,5,3.60,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-329,1997,10.9,27,2.48,21,4,1,0,0,1,2,0.18,2,0,0,0,0,0,Matches
29,David Affengruber,at AUT,DF,Elche,es La Liga,24-257,2001,12.4,11,0.89,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
30,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,de Bundesliga,27-292,1998,1.7,7,4.23,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-167,1997,8.2,8,0.97,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-340,2000,13.0,2,0.15,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-295,2002,8.8,16,1.82,16,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
34,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-065,1999,5.4,6,1.12,6,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
35,Marc Aguado,es ESP,MF,Elche,es La Liga,25-282,2000,9.2,9,0.98,7,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
36,Pablo Agudín,es ESP,"MF,FW",Oviedo,es La Liga,18-023,2007,0.6,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-246,1996,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
