Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Unnamed: 11_level_0_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 27_level_0_Matches
1,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-340,2000,13,13,1170,13.0,21,1.62,60,38,68.3,3,4,6,4,30.8,3,2,1,0,33.3,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,33-060,1992,8,8,720,8.0,10,1.25,23,13,56.5,6,0,2,3,37.5,0,0,0,0,,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-277,1993,9,9,810,9.0,16,1.78,51,35,72.5,2,2,5,0,0.0,2,2,0,0,0.0,Matches
4,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-190,2002,12,12,1080,12.0,20,1.67,47,26,57.4,4,4,4,4,33.3,1,0,1,0,100.0,Matches
5,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-317,1997,8,8,720,8.0,9,1.13,41,32,80.5,3,2,3,3,37.5,1,1,0,0,0.0,Matches
6,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-229,2004,10,10,900,10.0,17,1.70,50,34,70.0,3,4,3,2,20.0,2,2,0,0,0.0,Matches
7,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-215,1996,13,13,1170,13.0,14,1.08,52,38,76.9,4,4,5,5,38.5,2,2,0,0,0.0,Matches
8,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35-182,1990,12,12,1080,12.0,17,1.42,50,33,70.0,7,2,3,2,16.7,2,2,0,0,0.0,Matches
9,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-231,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,,Matches
10,Lucas Bergström,fi FIN,GK,Mallorca,es La Liga,23-087,2002,4,4,360,4.0,7,1.75,19,12,63.2,1,1,2,1,25.0,0,0,0,0,,Matches
11,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34-266,1991,2,2,180,2.0,3,1.50,7,4,71.4,0,1,1,1,50.0,1,1,0,0,0.0,Matches
12,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27-265,1998,2,2,180,2.0,3,1.50,6,3,66.7,0,0,2,0,0.0,1,1,0,0,0.0,Matches
13,Jean Butez,fr FRA,GK,Como,it Serie A,30-176,1995,13,13,1170,13.0,7,0.54,44,37,86.4,6,6,1,6,46.2,1,1,0,0,0.0,Matches
14,Elia Caprile,it ITA,GK,Cagliari,it Serie A,24-098,2001,13,13,1170,13.0,19,1.46,65,46,70.8,2,5,6,2,15.4,0,0,0,0,,Matches
15,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-327,1992,2,1,92,1.0,2,1.96,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Matches
16,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25-153,2000,13,13,1170,13.0,14,1.08,52,38,75.0,3,7,3,3,23.1,2,1,1,0,50.0,Matches
17,Lucas Chevalier,fr FRA,GK,Paris S-G,fr Ligue 1,24-025,2001,14,14,1260,14.0,12,0.86,38,26,68.4,9,3,2,7,50.0,2,0,1,1,100.0,Matches
18,Edoardo Corvi,it ITA,GK,Parma,it Serie A,24-253,2001,2,2,180,2.0,3,1.50,7,4,71.4,1,0,1,0,0.0,1,1,0,0,0.0,Matches
19,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26-242,1999,5,4,392,4.4,9,2.07,24,16,66.7,3,0,1,0,0.0,1,1,0,0,0.0,Matches
20,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33-204,1992,14,14,1260,14.0,13,0.93,41,28,73.2,10,3,1,6,42.9,2,2,0,0,0.0,Matches
21,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23-217,2002,2,2,180,2.0,5,2.50,14,10,64.3,0,0,2,0,0.0,0,0,0,0,,Matches
22,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-249,1998,12,12,1080,12.0,27,2.25,59,32,57.6,3,1,8,1,8.3,3,2,1,0,33.3,Matches
23,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-054,1990,5,5,450,5.0,8,1.60,20,13,60.0,1,1,3,0,0.0,0,0,0,0,,Matches
24,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27-244,1998,3,3,270,3.0,3,1.00,11,8,72.7,3,0,0,1,33.3,0,0,0,0,,Matches
25,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-302,2001,3,2,226,2.5,4,1.59,11,7,63.6,0,0,2,0,0.0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-159,1996,4,4,360,4.0,3,0.75,12,10,75.0,3,0,1,3,75.0,0,0,0,0,,Matches
27,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-127,1997,11,11,990,11.0,10,0.91,31,21,71.0,5,5,1,4,36.4,2,1,0,1,0.0,Matches
28,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-162,1993,14,14,1260,14.0,21,1.50,55,35,67.3,3,5,6,4,28.6,3,3,0,0,0.0,Matches
29,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26-015,1999,14,14,1260,14.0,26,1.86,81,54,72.8,5,2,7,2,14.3,5,4,1,0,20.0,Matches
30,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-207,1987,6,6,540,6.0,6,1.00,21,15,76.2,2,4,0,1,16.7,1,1,0,0,0.0,Matches
31,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-311,1992,14,14,1260,14.0,16,1.14,61,46,75.4,7,3,4,5,35.7,1,1,0,0,0.0,Matches
32,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-279,1999,10,10,900,10.0,8,0.80,26,17,69.2,7,1,2,4,40.0,1,0,1,0,100.0,Matches
33,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-320,1989,13,13,1170,13.0,27,2.08,73,49,68.5,3,1,9,2,15.4,4,4,0,0,0.0,Matches
34,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-065,1995,14,14,1260,14.0,22,1.57,94,70,78.7,2,3,9,3,21.4,4,2,2,0,50.0,Matches
35,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-233,1995,13,13,1170,13.0,17,1.31,59,41,74.6,3,4,6,5,38.5,3,2,1,0,33.3,Matches
36,Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,24-022,2001,14,13,1184,13.2,27,2.05,71,44,67.6,3,2,8,3,23.1,5,4,1,0,20.0,Matches
