Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Unnamed: 9_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 24_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-040,2000,8.8,223,201,19,3,2,0,15,5,0,0,0,0,178,3,7,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19-323,2006,1.5,61,53,8,0,0,0,13,7,0,0,0,0,43,0,5,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-014,1999,8.5,493,465,27,12,4,1,9,5,5,4,1,0,422,1,8,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-346,1993,3.9,116,96,20,3,0,0,9,17,0,0,0,0,85,0,6,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-250,2000,5.4,259,254,5,5,1,1,1,0,0,0,0,0,242,0,3,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-136,1999,2.4,145,124,21,0,0,0,10,21,0,0,0,0,116,0,3,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-303,1993,12.5,779,733,43,37,1,7,2,0,0,0,0,0,681,3,7,Matches
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-248,2003,11.9,188,185,3,1,0,1,14,0,0,0,0,0,126,0,10,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-188,2000,7.0,329,282,45,4,1,1,18,37,4,2,0,0,273,2,7,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-286,2000,1.8,33,31,2,0,0,0,4,1,0,0,0,0,21,0,2,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-266,1999,6.5,198,186,12,10,0,8,1,2,0,0,0,0,140,0,1,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-218,2001,5.8,238,234,4,4,0,1,0,0,0,0,0,0,197,0,3,Matches
13,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-296,2003,3.1,120,106,14,1,2,2,15,5,8,4,3,0,96,0,2,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-294,1988,8.6,546,537,9,7,0,0,1,0,0,0,0,0,519,0,4,Matches
15,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-126,1998,4.6,86,80,6,0,0,0,0,0,0,0,0,0,55,0,2,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-210,2006,3.9,296,284,12,7,0,0,0,1,0,0,0,0,273,0,2,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-306,2000,7.5,118,109,9,0,0,0,6,0,0,0,0,0,68,0,8,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-141,1996,6.4,155,147,6,1,0,5,7,0,0,0,0,0,115,2,6,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-290,1999,12.2,637,617,20,18,1,2,0,2,0,0,0,0,554,0,10,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-178,2001,4.8,82,78,3,0,0,0,2,0,0,0,0,0,47,1,6,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-068,1997,5.2,474,451,20,8,2,1,0,2,0,0,0,0,427,3,2,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-097,2005,5.7,137,134,3,1,1,2,9,1,1,0,1,0,94,0,8,Matches
23,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23-317,2002,6.6,171,163,8,0,1,1,4,7,0,0,0,0,119,0,12,Matches
24,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,23-334,2002,3.3,83,82,1,0,1,0,16,1,0,0,0,0,57,0,10,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-102,2002,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
26,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-205,2000,3.5,137,129,8,0,1,1,8,5,2,2,0,0,102,0,6,Matches
27,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-203,2006,1.4,70,63,5,2,0,1,2,2,1,0,1,0,54,2,5,Matches
28,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-329,1997,10.9,529,478,49,32,0,6,7,3,5,1,3,0,450,2,7,Matches
29,David Affengruber,at AUT,DF,Elche,es La Liga,24-257,2001,12.4,764,728,35,26,0,7,2,2,0,0,0,0,672,1,1,Matches
30,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,de Bundesliga,27-292,1998,1.7,75,74,0,0,1,0,10,0,0,0,0,0,50,1,6,Matches
31,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-167,1997,8.2,498,468,28,17,1,4,11,10,0,0,0,0,397,2,6,Matches
32,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-340,2000,13.0,421,308,113,37,0,0,0,0,0,0,0,0,306,0,0,Matches
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-295,2002,8.8,417,397,14,11,2,6,5,2,1,0,0,0,327,6,9,Matches
34,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-065,1999,5.4,248,194,54,5,0,3,7,49,0,0,0,0,198,0,8,Matches
35,Marc Aguado,es ESP,MF,Elche,es La Liga,25-282,2000,9.2,490,480,9,7,0,1,1,2,0,0,0,0,446,1,5,Matches
36,Pablo Agudín,es ESP,"MF,FW",Oviedo,es La Liga,18-023,2007,0.6,10,10,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-246,1996,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,Matches
38,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-246,1996,8.7,835,807,27,14,0,4,0,1,0,0,0,0,793,1,1,Matches
39,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-219,1993,11.8,653,552,95,2,0,0,59,93,0,0,0,0,517,6,16,Matches
40,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-281,2008,5.7,289,283,6,5,0,1,1,0,0,0,0,0,261,0,2,Matches
41,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-305,1995,4.1,193,149,43,0,2,2,4,43,0,0,0,0,146,1,5,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-063,1995,1.2,41,39,2,1,0,0,0,0,0,0,0,0,37,0,1,Matches
