Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1/3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-035,2000,8.8,177,218,81.2,2479,572,101,114,88.6,66,79,83.5,3,8,37.5,1,1.3,1.4,-0.3,11,13,9,4,21,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19-318,2006,1.3,40,56,71.4,638,60,24,28,85.7,12,16,75.0,3,5,60.0,0,0.1,0.1,-0.1,2,1,1,1,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-009,1999,7.9,389,454,85.7,6527,1863,195,214,91.1,152,165,92.1,33,52,63.5,0,0.3,0.5,-0.3,5,36,9,0,57,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-341,1993,3.6,71,96,74.0,975,345,42,48,87.5,24,30,80.0,2,7,28.6,0,0.4,0.2,-0.4,4,6,3,1,2,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-245,2000,4.6,185,200,92.5,2547,542,113,120,94.2,59,63,93.7,5,7,71.4,0,0.0,0.1,0.0,1,11,0,0,5,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-131,1999,2.3,108,134,80.6,1626,528,59,64,92.2,43,52,82.7,3,13,23.1,1,0.5,0.8,+0.5,2,4,3,0,13,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-298,1993,11.5,633,726,87.2,11873,3641,241,264,91.3,309,337,91.7,70,96,72.9,0,0.5,0.6,-0.5,8,77,7,1,66,Matches
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-243,2003,10.9,117,175,66.9,1772,567,60,88,68.2,44,55,80.0,8,14,57.1,2,1.1,1.4,+0.9,12,15,11,2,25,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-183,2000,6.0,223,269,82.9,3591,1477,125,137,91.2,77,92,83.7,18,28,64.3,0,0.2,0.3,-0.2,3,28,8,1,30,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-281,2000,1.6,19,29,65.5,298,111,11,16,68.8,5,6,83.3,2,3,66.7,0,0.0,0.0,0.0,0,1,1,1,3,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-261,1999,6.5,140,198,70.7,3301,1031,34,44,77.3,73,84,86.9,30,64,46.9,1,0.4,0.3,+0.6,2,11,0,0,9,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-213,2001,5.8,197,238,82.8,2960,801,101,118,85.6,84,97,86.6,4,11,36.4,0,0.0,0.2,0.0,1,15,2,0,20,Matches
13,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-291,2003,3.1,93,116,80.2,1577,378,51,54,94.4,34,41,82.9,7,17,41.2,0,0.2,0.4,-0.2,3,8,2,1,9,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-289,1988,7.8,487,512,95.1,9253,2420,142,149,95.3,309,317,97.5,34,40,85.0,0,0.1,0.4,-0.1,2,22,2,1,32,Matches
15,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-121,1998,4.6,55,86,64.0,774,173,34,52,65.4,18,23,78.3,2,3,66.7,3,1.0,0.4,+2.0,7,6,3,0,9,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-205,2006,3.9,273,296,92.2,4588,1044,122,130,93.8,143,147,97.3,6,15,40.0,0,0.0,0.0,0.0,0,8,0,0,11,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-301,2000,6.5,59,103,57.3,910,128,33,53,62.3,20,33,60.6,3,7,42.9,1,0.2,0.1,+0.8,3,4,2,0,6,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-136,1996,5.4,92,126,73.0,1523,295,53,64,82.8,23,33,69.7,11,14,78.6,0,0.1,0.2,-0.1,3,7,2,0,8,Matches
