Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 31_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-040,2000,8.8,368,7,64,163,147,22,368,31,10,32.3,17,54.8,192,1180,536,19,11,2,26,19,209,44,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19-323,2006,1.5,87,2,8,24,56,5,87,9,3,33.3,4,44.4,58,546,330,16,6,4,3,3,63,33,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-014,1999,8.5,594,17,157,357,90,7,593,23,11,47.8,12,52.2,333,1995,1251,34,22,0,13,9,421,11,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-346,1993,3.9,157,10,45,65,48,4,157,9,3,33.3,5,55.6,74,452,255,9,4,1,9,0,88,13,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-250,2000,5.4,292,8,64,198,31,3,292,3,1,33.3,2,66.7,179,921,378,5,4,2,7,4,216,5,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-136,1999,2.4,173,6,37,65,72,8,173,6,1,16.7,4,66.7,63,262,129,3,0,2,4,1,104,24,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-303,1993,12.5,869,42,242,505,128,8,869,11,4,36.4,7,63.6,560,2328,1308,14,13,2,7,8,649,12,Matches
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-248,2003,11.9,342,5,41,127,191,63,341,56,28,50.0,27,48.2,213,1871,1162,43,27,22,28,19,240,68,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-188,2000,7.0,385,19,106,162,119,20,385,7,3,42.9,4,57.1,200,886,574,14,5,3,4,5,264,36,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-286,2000,1.8,59,2,7,28,28,6,59,8,2,25.0,5,62.5,41,325,230,7,6,2,6,3,44,8,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-266,1999,6.5,289,18,136,140,13,7,289,2,1,50.0,1,50.0,108,497,237,3,1,0,6,1,125,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-218,2001,5.8,297,12,81,180,39,6,297,4,3,75.0,1,25.0,145,439,157,1,2,0,2,4,169,10,Matches
13,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-296,2003,3.1,167,6,35,77,56,5,167,11,3,27.3,8,72.7,93,516,310,10,5,2,5,9,106,17,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-294,1988,8.6,655,61,290,334,31,7,655,1,1,100.0,0,0.0,325,1377,749,6,6,0,7,0,460,0,Matches
15,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-126,1998,4.6,150,14,21,63,67,23,150,5,0,0.0,4,80.0,52,232,89,2,5,0,16,3,105,11,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-210,2006,3.9,330,28,133,179,21,4,330,9,8,88.9,0,0.0,241,1151,622,4,5,0,0,3,255,0,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-306,2000,7.5,192,9,22,80,94,39,192,12,8,66.7,4,33.3,96,491,209,11,3,6,16,9,140,30,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-141,1996,6.4,221,5,16,91,115,26,221,15,7,46.7,8,53.3,131,504,137,4,6,2,16,8,168,42,Matches
