Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-035,2000,12,9,790,8.8,1,1,2,1,0,0,1,0,2.0,2.0,1.3,3.3,18,21,42,0.11,0.11,0.23,0.11,0.23,0.23,0.15,0.38,0.23,0.38,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19-318,2006,6,0,118,1.3,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,14,0,30,0.00,0.00,0.00,0.00,0.00,0.71,0.04,0.74,0.71,0.74,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-009,1999,10,8,707,7.9,1,0,1,0,1,1,0,0,1.1,0.3,0.3,0.6,31,57,11,0.13,0.00,0.13,0.00,0.00,0.14,0.04,0.18,0.04,0.08,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-341,1993,6,5,323,3.6,0,0,0,0,0,0,3,1,0.0,0.0,0.4,0.4,6,2,11,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-245,2000,9,6,418,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-131,1999,9,1,204,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,3,13,21,0.00,0.44,0.44,0.00,0.44,0.02,0.20,0.22,0.02,0.22,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-298,1993,12,12,1036,11.5,0,0,0,0,0,0,4,0,0.5,0.5,0.5,1.0,13,66,12,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
8,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-243,2003,13,10,978,10.9,2,2,4,2,0,1,2,0,3.0,2.2,1.1,3.3,38,25,63,0.18,0.18,0.37,0.18,0.37,0.27,0.10,0.37,0.20,0.30,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-183,2000,7,7,540,6.0,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1.0,12,30,19,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-281,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,3,6,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-261,1999,8,7,583,6.5,0,1,1,0,0,0,5,0,0.2,0.2,0.4,0.6,3,9,0,0.00,0.15,0.15,0.00,0.15,0.03,0.05,0.09,0.03,0.09,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-213,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,1,20,10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
13,Giorgi Abuashvili,ge GEO,"FW,MF",Metz,fr Ligue 1,22-291,2003,8,4,279,3.1,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,10,9,16,0.32,0.00,0.32,0.32,0.32,0.09,0.05,0.15,0.09,0.15,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-289,1988,8,8,706,7.8,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,6,32,0,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
15,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-121,1998,11,3,418,4.6,1,3,4,1,0,0,1,0,2.1,2.1,1.0,3.1,2,9,11,0.22,0.65,0.86,0.22,0.86,0.45,0.21,0.66,0.45,0.66,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-205,2006,5,4,349,3.9,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,4,11,0,0.26,0.00,0.26,0.26,0.26,0.16,0.00,0.16,0.16,0.16,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-301,2000,11,5,582,6.5,2,1,3,2,0,0,1,0,2.7,2.7,0.2,2.8,11,6,27,0.31,0.15,0.46,0.31,0.46,0.41,0.02,0.44,0.41,0.44,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-136,1996,11,4,484,5.4,2,0,2,2,0,0,0,0,1.7,1.7,0.1,1.9,3,8,33,0.37,0.00,0.37,0.37,0.37,0.32,0.03,0.35,0.32,0.35,Matches
