Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24-358,2000,4.4,13,9,6,5,2,18,50.0,9,7,0,7,2,15,8,0,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19-276,2006,0.4,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-332,1999,2.1,2,2,2,0,0,4,50.0,2,3,0,3,5,7,3,0,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-299,1993,1.1,1,0,1,0,0,0,,0,0,0,0,2,3,1,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-203,2000,2.2,2,0,2,0,0,2,50.0,1,1,0,1,4,6,0,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-089,1999,0.9,5,2,4,0,1,6,66.7,2,2,0,2,0,5,2,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-256,1993,7.0,13,8,7,3,3,12,50.0,6,3,0,3,3,16,14,1,Matches
8,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22-201,2003,4.9,4,2,1,2,1,2,100.0,0,3,0,3,2,6,2,0,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-141,2000,3.6,7,5,4,3,0,6,66.7,2,2,1,1,2,9,12,0,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-239,2000,1.3,6,4,2,2,2,6,83.3,1,2,0,2,0,6,0,0,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-219,1999,4.3,17,10,12,5,0,10,90.0,1,6,2,4,6,23,18,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-171,2001,2.7,13,9,5,7,1,10,80.0,2,8,3,5,4,17,5,0,Matches
13,Giorgi Abuashvili,ge GEO,FW,Metz,fr Ligue 1,22-249,2003,1.7,5,2,3,2,0,3,33.3,2,4,1,3,0,5,1,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-247,1988,3.9,4,4,3,1,0,0,,0,6,6,0,6,10,28,0,Matches
15,Ragnar Ache,de GER,"FW,DF",Köln,de Bundesliga,27-079,1998,2.1,2,1,0,1,1,1,0.0,1,1,0,1,0,2,7,0,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-163,2006,2.2,2,2,1,1,0,2,50.0,1,2,0,2,3,5,7,3,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-259,2000,3.8,2,1,1,0,1,2,50.0,1,3,0,3,0,2,6,0,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-094,1996,1.8,3,3,2,0,1,2,50.0,1,0,0,0,0,3,1,0,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-243,1999,6.7,18,10,9,8,1,20,55.0,9,10,3,7,15,33,11,0,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-131,2001,2.6,7,4,6,1,0,1,100.0,0,1,1,0,4,11,4,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-021,1997,3.9,5,2,3,2,0,2,50.0,1,3,2,1,5,10,25,0,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-050,2005,2.0,1,1,0,1,0,2,0.0,2,1,0,1,1,2,0,0,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-270,2002,3.6,1,0,1,0,0,2,0.0,2,1,0,1,4,5,1,0,Matches
24,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23-287,2002,3.0,4,3,1,2,1,3,66.7,1,1,0,1,0,4,5,0,Matches
25,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-158,2000,1.7,10,3,4,3,3,8,75.0,2,5,1,4,2,12,4,0,Matches
