Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,Matches
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24-358,2000,4.4,12,2.72,8,0,0,3,0,1,3,0.68,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19-276,2006,0.4,4,10.59,4,0,0,0,0,0,0,0.00,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-332,1999,2.1,6,2.84,4,2,0,0,0,0,1,0.47,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-299,1993,1.1,1,1.15,1,0,0,0,0,0,0,0.00,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-203,2000,2.2,2,0.90,2,0,0,0,0,0,0,0.00,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-089,1999,0.9,4,4.50,4,0,0,0,0,0,1,1.13,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-256,1993,7.0,11,1.57,9,1,0,1,0,0,0,0.00,Matches
8,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22-201,2003,4.9,17,3.45,11,0,2,3,1,0,1,0.20,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-141,2000,3.6,6,1.67,4,0,1,1,0,0,1,0.28,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-239,2000,1.3,2,1.51,1,1,0,0,0,0,0,0.00,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-219,1999,4.3,1,0.23,1,0,0,0,0,0,1,0.23,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-171,2001,2.7,3,1.10,2,0,0,1,0,0,0,0.00,Matches
13,Giorgi Abuashvili,ge GEO,FW,Metz,fr Ligue 1,22-249,2003,1.7,4,2.38,1,2,1,0,0,0,0,0.00,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-247,1988,3.9,5,1.28,4,0,0,1,0,0,0,0.00,Matches
15,Ragnar Ache,de GER,"FW,DF",Köln,de Bundesliga,27-079,1998,2.1,4,1.89,3,0,0,1,0,0,2,0.95,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-163,2006,2.2,0,0.00,0,0,0,0,0,0,0,0.00,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-259,2000,3.8,2,0.53,1,0,0,1,0,0,0,0.00,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-094,1996,1.8,5,2.76,3,0,1,0,1,0,0,0.00,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-243,1999,6.7,7,1.04,6,0,0,0,0,1,2,0.30,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-131,2001,2.6,4,1.56,2,0,0,1,0,1,2,0.78,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-021,1997,3.9,0,0.00,0,0,0,0,0,0,0,0.00,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-050,2005,2.0,4,1.97,3,0,1,0,0,0,0,0.00,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-270,2002,3.6,14,3.87,9,0,3,0,2,0,3,0.83,Matches
24,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23-287,2002,3.0,8,2.64,7,0,1,0,0,0,1,0.33,Matches
25,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-158,2000,1.7,8,4.80,5,0,1,0,1,1,0,0.00,Matches
26,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-156,2006,1.2,4,3.33,4,0,0,0,0,0,0,0.00,Matches
27,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-282,1997,4.5,11,2.46,8,1,1,0,0,1,0,0.00,Matches
28,David Affengruber,at AUT,DF,Elche,es La Liga,24-210,2001,7.4,4,0.54,4,0,0,0,0,0,0,0.00,Matches
29,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-245,1998,0.5,2,3.91,1,0,0,1,0,0,0,0.00,Matches
30,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-120,1997,5.8,7,1.20,7,0,0,0,0,0,0,0.00,Matches
31,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-293,2000,8.0,2,0.25,1,1,0,0,0,0,0,0.00,Matches
32,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-248,2002,6.8,12,1.77,12,0,0,0,0,0,2,0.30,Matches
33,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-018,1999,5.4,6,1.12,6,0,0,0,0,0,1,0.19,Matches
34,Marc Aguado,es ESP,MF,Elche,es La Liga,25-235,2000,4.4,4,0.90,3,0,0,0,1,0,0,0.00,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-199,1996,2.0,2,1.00,2,0,0,0,0,0,0,0.00,Matches
36,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-199,1996,4.0,1,0.25,1,0,0,0,0,0,1,0.25,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-172,1993,6.1,19,3.11,17,0,0,1,1,0,2,0.33,Matches
38,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-234,2008,2.7,1,0.37,0,0,0,0,0,1,0,0.00,Matches
39,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-258,1995,4.1,10,2.43,10,0,0,0,0,0,2,0.49,Matches
40,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-007,1996,3.0,1,0.33,1,0,0,0,0,0,0,0.00,Matches
