Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-293,2000,8,8,720,8.0,14,1.75,39,25,64.1,2,2,4,2,25.0,0,0,0,0,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,33-013,1992,6,6,540,6.0,7,1.17,16,9,56.3,5,0,1,2,33.3,0,0,0,0,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-230,1993,3,3,270,3.0,5,1.67,14,9,71.4,0,1,2,0,0.0,1,1,0,0,Matches
4,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-143,2002,6,6,540,6.0,9,1.50,27,17,66.7,2,2,2,2,33.3,1,0,1,0,Matches
5,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-270,1997,4,4,360,4.0,3,0.75,23,20,91.3,2,2,0,2,50.0,1,1,0,0,Matches
6,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-182,2004,4,4,360,4.0,10,2.50,16,7,50.0,1,1,2,1,25.0,2,2,0,0,Matches
7,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29-168,1996,8,8,720,8.0,10,1.25,32,22,75.0,2,2,4,1,12.5,2,2,0,0,Matches
8,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,35-135,1990,6,6,540,6.0,12,2.00,29,17,65.5,2,1,3,0,0.0,2,2,0,0,Matches
9,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,27-184,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,Matches
10,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34-219,1991,2,2,180,2.0,3,1.50,7,4,71.4,0,1,1,1,50.0,1,1,0,0,Matches
11,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27-218,1998,1,1,90,1.0,1,1.00,2,1,50.0,0,0,1,0,0.0,0,0,0,0,Matches
12,Jean Butez,fr FRA,GK,Como,it Serie A,30-129,1995,6,6,540,6.0,5,0.83,13,8,61.5,2,3,1,1,16.7,0,0,0,0,Matches
13,Elia Caprile,it ITA,GK,Cagliari,it Serie A,24-051,2001,6,6,540,6.0,6,1.00,26,20,76.9,2,2,2,1,16.7,0,0,0,0,Matches
14,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25-106,2000,6,6,540,6.0,5,0.83,27,22,81.5,2,4,0,1,16.7,1,0,1,0,Matches
15,Lucas Chevalier,fr FRA,GK,Paris S-G,fr Ligue 1,23-343,2001,7,7,630,7.0,5,0.71,15,10,66.7,5,1,1,4,57.1,1,0,1,0,Matches
16,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26-195,1999,3,2,212,2.4,6,2.55,15,9,66.7,1,0,1,0,0.0,1,1,0,0,Matches
17,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33-157,1992,8,8,720,8.0,9,1.13,22,13,68.2,7,0,1,3,37.5,2,2,0,0,Matches
18,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23-170,2002,2,2,180,2.0,5,2.50,14,10,64.3,0,0,2,0,0.0,0,0,0,0,Matches
19,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-202,1998,6,6,540,6.0,13,2.17,34,20,64.7,2,0,4,0,0.0,2,1,1,0,Matches
20,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-007,1990,4,4,360,4.0,6,1.50,17,12,64.7,1,1,2,0,0.0,0,0,0,0,Matches
