Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24-358,2000,4.4,86,109,78.9,1167,261,0,0.7,0.8,-0.7,5,8,3,0,13,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19-276,2006,0.4,21,26,80.8,320,36,0,0.1,0.1,-0.1,2,0,1,1,0,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-332,1999,2.1,86,110,78.2,1535,573,0,0.2,0.3,-0.2,2,13,3,0,19,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-299,1993,1.1,22,30,73.3,309,134,0,0.0,0.1,0.0,0,3,1,0,1,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-203,2000,2.2,98,105,93.3,1368,285,0,0.0,0.0,0.0,0,7,0,0,2,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-089,1999,0.9,48,59,81.4,674,290,1,0.5,0.8,+0.5,2,1,2,0,7,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-256,1993,7.0,409,465,88.0,7874,2313,0,0.4,0.3,-0.4,5,51,4,1,40,Matches
8,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22-201,2003,4.9,55,84,65.5,809,244,1,0.4,0.9,+0.6,6,7,6,1,12,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-141,2000,3.6,129,154,83.8,2028,833,0,0.2,0.2,-0.2,2,15,5,1,15,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-239,2000,1.3,17,24,70.8,268,111,0,0.0,0.0,0.0,0,1,1,1,3,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-219,1999,4.3,97,131,74.0,2157,571,1,0.2,0.3,+0.8,1,6,0,0,4,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-171,2001,2.7,90,110,81.8,1389,385,0,0.0,0.1,0.0,0,6,1,0,9,Matches
13,Giorgi Abuashvili,ge GEO,FW,Metz,fr Ligue 1,22-249,2003,1.7,54,61,88.5,944,275,0,0.1,0.1,-0.1,2,6,1,1,6,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-247,1988,3.9,259,271,95.6,5004,1282,0,0.1,0.3,-0.1,2,14,2,1,16,Matches
15,Ragnar Ache,de GER,"FW,DF",Köln,de Bundesliga,27-079,1998,2.1,28,39,71.8,331,61,2,0.7,0.3,+1.3,3,2,2,0,5,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-163,2006,2.2,135,152,88.8,2261,441,0,0.0,0.0,0.0,0,0,0,0,4,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-259,2000,3.8,31,57,54.4,474,67,1,0.1,0.1,+0.9,1,1,2,0,5,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-094,1996,1.8,30,45,66.7,377,46,0,0.1,0.1,-0.1,2,1,1,0,1,Matches
