Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24-358,2000,4.4,109,97,10,2,1,0,6,4,0,0,0,0,86,2,2,Matches
2,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19-276,2006,0.4,26,22,4,0,0,0,5,4,0,0,0,0,21,0,3,Matches
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-332,1999,2.1,110,101,9,1,1,0,7,1,5,4,1,0,86,0,1,Matches
4,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-299,1993,1.1,30,21,9,1,0,0,2,8,0,0,0,0,22,0,2,Matches
5,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-203,2000,2.2,105,103,2,2,0,0,0,0,0,0,0,0,98,0,2,Matches
6,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-089,1999,0.9,59,51,8,0,0,0,5,8,0,0,0,0,48,0,2,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-256,1993,7.0,465,439,25,25,1,2,2,0,0,0,0,0,409,1,5,Matches
8,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22-201,2003,4.9,84,82,2,0,0,1,5,0,0,0,0,0,55,0,7,Matches
9,Abner,br BRA,DF,Lyon,fr Ligue 1,25-141,2000,3.6,154,129,24,3,1,1,5,20,1,0,0,0,129,1,2,Matches
10,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-239,2000,1.3,24,23,1,0,0,0,2,1,0,0,0,0,17,0,0,Matches
11,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-219,1999,4.3,131,121,10,8,0,7,0,2,0,0,0,0,97,0,0,Matches
12,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-171,2001,2.7,110,110,0,0,0,1,0,0,0,0,0,0,90,0,3,Matches
13,Giorgi Abuashvili,ge GEO,FW,Metz,fr Ligue 1,22-249,2003,1.7,61,54,7,0,0,2,6,3,4,0,3,0,54,0,1,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-247,1988,3.9,271,266,5,4,0,0,1,0,0,0,0,0,259,0,2,Matches
15,Ragnar Ache,de GER,"FW,DF",Köln,de Bundesliga,27-079,1998,2.1,39,38,1,0,0,0,0,0,0,0,0,0,28,0,0,Matches
16,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-163,2006,2.2,152,148,4,3,0,0,0,0,0,0,0,0,135,0,2,Matches
17,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-259,2000,3.8,57,52,5,0,0,0,5,0,0,0,0,0,31,0,5,Matches
18,Che Adams,sct SCO,"FW,MF",Torino,it Serie A,29-094,1996,1.8,45,43,1,0,0,0,4,0,0,0,0,0,30,1,4,Matches
19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-243,1999,6.7,343,328,15,15,0,2,0,0,0,0,0,0,286,0,9,Matches
20,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-131,2001,2.6,47,46,1,0,0,0,1,0,0,0,0,0,22,0,4,Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-021,1997,3.9,349,328,19,7,0,1,0,2,0,0,0,0,314,2,2,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-050,2005,2.0,50,50,0,0,0,2,2,0,0,0,0,0,31,0,3,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,23-270,2002,3.6,91,86,5,0,1,1,2,5,0,0,0,0,58,0,7,Matches
24,Simon Adingra,ci CIV,FW,Sunderland,eng Premier League,23-287,2002,3.0,69,68,1,0,1,0,12,1,0,0,0,0,48,0,9,Matches
25,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-158,2000,1.7,74,68,6,0,1,1,7,4,2,2,0,0,54,0,4,Matches
26,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-156,2006,1.2,58,53,3,2,0,1,1,1,0,0,0,0,43,2,5,Matches
27,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-282,1997,4.5,213,199,13,7,0,1,1,1,1,0,0,0,181,1,4,Matches
28,David Affengruber,at AUT,DF,Elche,es La Liga,24-210,2001,7.4,461,441,20,13,0,4,0,1,0,0,0,0,417,0,0,Matches
29,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-245,1998,0.5,15,15,0,0,1,0,4,0,0,0,0,0,8,0,1,Matches
30,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-120,1997,5.8,362,338,23,12,1,3,8,10,0,0,0,0,287,1,4,Matches
31,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-293,2000,8.0,279,204,75,20,0,0,0,0,0,0,0,0,200,0,0,Matches
32,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-248,2002,6.8,291,277,9,6,2,2,4,2,1,0,0,0,232,5,6,Matches
33,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-018,1999,5.4,248,194,54,5,0,3,7,49,0,0,0,0,198,0,8,Matches
34,Marc Aguado,es ESP,MF,Elche,es La Liga,25-235,2000,4.4,275,271,3,3,0,0,0,0,0,0,0,0,252,1,4,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-199,1996,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,Matches
36,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-199,1996,4.0,337,318,19,9,0,2,0,0,0,0,0,0,312,0,0,Matches
37,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-172,1993,6.1,297,249,45,2,0,0,25,43,0,0,0,0,236,3,7,Matches
38,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-234,2008,2.7,121,119,2,2,0,1,1,0,0,0,0,0,103,0,1,Matches
39,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-258,1995,4.1,193,149,43,0,2,2,4,43,0,0,0,0,146,1,5,Matches
40,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-007,1996,3.0,157,131,26,5,0,1,13,20,1,0,0,0,125,0,5,Matches
41,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-182,2006,0.8,33,30,3,3,0,0,0,0,0,0,0,0,28,0,0,Matches
42,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-131,2001,2.2,121,100,21,2,0,0,2,19,0,0,0,0,105,0,6,Matches
43,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-111,1998,4.4,84,82,1,0,1,0,2,1,0,0,0,0,62,1,4,Matches
44,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-004,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-181,1998,1.3,50,48,1,0,0,0,0,1,0,0,0,0,43,1,0,Matches
46,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-232,1994,6.9,191,186,5,1,1,4,1,0,0,0,0,0,129,0,0,Matches
47,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-088,1995,4.0,300,280,19,9,0,3,1,10,0,0,0,0,271,1,3,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-239,1995,1.3,61,51,10,4,0,1,2,5,0,0,0,0,52,0,0,Matches
49,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-182,2004,1.5,48,41,5,2,0,0,7,0,3,2,0,0,35,2,1,Matches
50,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20-324,2004,4.3,123,115,7,2,1,2,2,0,0,0,0,0,110,1,1,Matches
51,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-232,2002,6.0,292,277,15,3,2,2,18,6,6,1,4,0,228,0,6,Matches
52,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-325,2001,5.0,283,252,30,20,0,4,6,3,2,0,2,0,235,1,1,Matches
53,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-004,1992,2.2,45,44,1,1,0,0,0,0,0,0,0,0,31,0,3,Matches
54,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-179,1995,0.3,9,8,1,0,0,0,0,0,0,0,0,0,5,0,0,Matches
55,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-113,1992,0.1,18,16,2,1,1,0,0,1,0,0,0,0,16,0,0,Matches
56,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,22-319,2002,1.8,60,56,3,0,1,0,2,0,1,0,0,0,46,1,1,Matches
57,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-293,1996,6.4,340,334,6,5,1,4,4,1,0,0,0,0,288,0,2,Matches
58,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-197,1998,3.1,45,41,3,0,0,0,0,0,0,0,0,0,28,1,3,Matches
59,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-283,1998,5.7,288,252,36,15,0,2,28,1,20,5,5,0,231,0,5,Matches
60,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-008,1998,1.7,141,120,19,1,0,1,10,16,2,1,1,0,111,2,2,Matches
61,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-164,1999,1.8,40,35,5,0,0,0,2,5,0,0,0,0,31,0,1,Matches
62,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-269,2004,1.7,40,38,2,0,1,0,6,0,0,0,0,0,31,0,3,Matches
63,Alisson,br BRA,GK,Liverpool,eng Premier League,33-013,1992,6.0,254,225,29,14,0,1,0,0,0,0,0,0,211,0,0,Matches
64,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-230,1995,0.9,13,12,0,0,0,0,1,0,0,0,0,0,10,1,0,Matches
65,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-172,2001,2.3,127,119,8,3,2,1,8,0,5,1,3,0,107,0,3,Matches
66,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,25-138,2000,1.0,53,48,5,1,0,1,5,0,4,2,1,0,43,0,1,Matches
67,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-097,1999,3.2,67,66,1,1,0,0,3,0,0,0,0,0,49,0,1,Matches
68,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-291,1990,4.3,361,336,22,10,3,3,6,12,0,0,0,0,318,3,4,Matches
69,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-201,2001,0.1,8,7,1,1,0,0,0,0,0,0,0,0,8,0,0,Matches
70,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-051,2001,5.0,283,272,11,10,1,0,1,1,0,0,0,0,261,0,1,Matches
71,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-070,2003,5.4,186,171,14,7,7,0,7,1,5,0,2,0,147,1,2,Matches
72,Hugo Álvarez,es ESP,"FW,DF",Celta Vigo,es La Liga,22-105,2003,3.4,153,146,6,0,0,0,4,6,0,0,0,0,125,1,6,Matches
73,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-257,2000,6.9,262,216,45,8,4,1,29,1,25,9,12,0,204,1,8,Matches
