Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24-358,2000,7,397,57,63.0,4.4,4,79,0,3,27,0,1.14,7,5,+2,+0.45,+2.77,5.6,4.8,+0.7,+0.17,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,19-155,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19-193,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
4,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19-276,2006,1,34,34,4.7,0.4,0,,0,1,34,7,0.00,0,1,-1,-2.65,-2.38,0.3,1.0,-0.7,-1.84,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25-332,1999,4,190,48,30.2,2.1,2,70,0,2,25,0,0.25,1,8,-7,-3.32,-3.11,3.2,7.4,-4.1,-1.96,Matches
6,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-299,1993,2,95,48,15.1,1.1,2,48,0,0,,0,1.00,2,0,+2,+1.89,+2.74,0.9,0.5,+0.4,+0.43,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-203,2000,5,201,40,31.9,2.2,3,55,0,2,18,2,1.00,4,3,+1,+0.45,+1.29,2.1,3.4,-1.3,-0.59,Matches
8,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-089,1999,5,81,16,12.9,0.9,0,,0,5,16,2,1.40,2,0,+2,+2.22,+1.89,2.1,1.1,+1.0,+1.11,Matches
9,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-256,1993,7,630,90,100.0,7.0,7,90,7,0,,0,1.00,9,16,-7,-1.00,,9.3,11.3,-2.1,-0.29,Matches
10,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22-201,2003,7,444,63,70.5,4.9,4,90,3,3,29,0,0.86,4,7,-3,-0.61,-1.09,4.0,8.9,-4.9,-0.99,Matches
11,Abner,br BRA,DF,Lyon,fr Ligue 1,25-141,2000,4,323,81,51.3,3.6,4,81,2,0,,0,2.25,4,3,+1,+0.28,-0.60,6.2,4.6,+1.7,+0.46,Matches
12,Zakaria Aboukhlal,ma MAR,"FW,MF",Torino,it Serie A,25-239,2000,5,119,24,22.0,1.3,1,45,0,4,19,1,0.80,0,5,-5,-3.78,-3.14,0.6,2.6,-2.1,-1.57,Matches
13,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-219,1999,5,387,77,53.8,4.3,5,77,3,0,,0,1.00,5,6,-1,-0.23,+0.04,2.4,4.2,-1.8,-0.41,Matches
14,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-171,2001,4,246,62,39.0,2.7,3,67,0,1,45,0,1.00,4,3,+1,+0.37,+0.83,3.5,2.7,+0.9,+0.31,Matches
15,Giorgi Abuashvili,ge GEO,FW,Metz,fr Ligue 1,22-249,2003,4,151,38,24.0,1.7,2,61,0,2,15,3,0.50,2,5,-3,-1.79,-0.28,2.2,5.8,-3.6,-2.14,Matches
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-247,1988,4,352,88,65.2,3.9,4,88,3,0,,2,1.50,11,7,+4,+1.02,-1.37,5.8,3.6,+2.2,+0.56,Matches
17,Ragnar Ache,de GER,"FW,DF",Köln,de Bundesliga,27-079,1998,6,190,32,35.2,2.1,1,62,0,5,26,0,1.67,5,3,+2,+0.95,+0.95,3.9,3.5,+0.4,+0.18,Matches
