rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalty_attempts,penalty_goals_against,penalty_saves,penalty_missed,MP,Starts,Min,penalty_kicks_allowed,season,table_type,processed_at
1,Adrián,ESP,GK,Betis,La Liga,37,1987,0,0,0,19.0,27,1.42,76,49,65.8,10,5,4,3,15.8,1,0,0,0,19,19,1710,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
2,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,0,0,0,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,0,1,0,14,14,1206,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
3,Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,0,0,0,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,2,1,91,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
4,Alisson,BRA,GK,Liverpool,Premier League,31,1992,0,0,0,27.9,29,1.04,100,73,72.0,18,7,3,9,32.1,1,0,0,0,28,28,2508,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
5,Alphonse Areola,FRA,GK,West Ham,Premier League,31,1993,0,0,0,25.1,41,1.63,115,77,64.3,5,7,13,5,20.0,0,0,0,0,26,25,2260,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
6,Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,29,1994,0,0,0,31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,0,0,0,31,31,2790,4,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
7,Noah Atubolu,GER,GK,Freiburg,Bundesliga,22,2002,0,0,0,25.6,37,1.44,120,81,69.2,12,6,8,10,38.5,2,0,2,0,26,26,2307,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
8,Emil Audero,IDN,GK,Como,Serie A,27,1997,0,0,0,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,0,0,0,8,8,720,4,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
9,Brandon Austin,ENG,GK,Tottenham,Premier League,25,1999,0,0,0,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
10,Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28,1996,0,0,0,32.0,39,1.22,133,93,75.2,10,12,10,8,25.0,8,0,2,0,32,32,2880,6,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
11,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34,1990,0,0,0,28.0,53,1.89,138,84,63.0,6,8,14,4,14.3,5,0,3,0,28,28,2520,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
12,Altay Bayındır,TUR,GK,Manchester Utd,Premier League,26,1998,0,0,0,4.0,10,2.5,17,8,41.2,1,0,3,1,25.0,0,0,0,0,4,4,360,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
13,Daniel Bentley,ENG,GK,Wolves,Premier League,31,1993,0,0,0,2.0,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,2,2,180,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
14,Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26,1998,0,0,0,4.0,11,2.75,21,10,57.1,1,0,3,0,0.0,2,0,0,0,4,4,360,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
15,Marco Bizot,NED,GK,Brest,Ligue 1,33,1991,0,0,0,32.0,54,1.69,128,74,64.1,14,5,13,10,31.3,10,0,1,1,32,32,2880,8,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
16,Jean Butez,FRA,GK,Como,Serie A,29,1995,0,0,0,18.5,20,1.08,68,48,73.5,8,4,6,5,27.8,2,0,0,0,19,18,1666,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
17,Marcin Bułka,POL,GK,Nice,Ligue 1,24,1999,0,0,0,34.0,41,1.21,161,120,75.8,17,9,8,8,23.5,3,0,1,0,34,34,3060,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
18,Elia Caprile,ITA,GK,Cagliari,Serie A,22,2001,0,0,0,18.0,22,1.22,66,44,68.2,5,4,9,5,27.8,1,0,0,0,18,18,1620,1,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
19,Elia Caprile,ITA,GK,Napoli,Serie A,22,2001,0,0,0,3.6,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,4,3,325,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
20,Dani Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27,1997,0,0,0,6.0,6,1.0,20,14,70.0,3,1,2,2,33.3,0,0,0,0,6,6,540,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
21,Tiago Cardoso,LUX,GK,Gladbach,Bundesliga,18,2006,0,0,0,4.2,3,0.71,23,20,87.0,2,1,1,2,50.0,0,0,0,0,5,4,380,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
22,Patrik Carlgren,SWE,GK,Nantes,Ligue 1,32,1992,0,0,0,4.6,7,1.51,28,21,75.0,1,2,1,1,25.0,0,0,0,0,5,4,417,0,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
23,Marco Carnesecchi,ITA,GK,Atalanta,Serie A,24,2000,0,0,0,34.0,34,1.0,129,97,75.2,19,7,8,13,38.2,2,0,0,0,34,34,3060,2,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
24,Lucas Chevalier,FRA,GK,Lille,Ligue 1,22,2001,0,0,0,34.0,36,1.06,126,91,74.6,17,9,8,11,32.4,4,0,0,0,34,34,3060,4,2024-2025,stats_keeper,2025-10-18 04:36:51.050524
