rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_distance,free_kicks,penalty_goals,penalty_attempts,expected_goals,non_penalty_xg,npxg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,shot_creating_actions_shot,passes_free_kick,season,table_type,processed_at
1,Max Aarons,ENG,DF,Bournemouth,Premier League,24.0,2000.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
2,Max Aarons,ENG,"DF,MF",Valencia,La Liga,24.0,2000.0,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21.0,2003.0,0.7,0,0,0,0.0,1.38,0.0,0.0,0.0,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,20.0,2004.0,1.0,0,0,0,0.0,1.02,0.0,0.0,0.0,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18.0,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36.0,1987.0,11.5,0,0,1,50.0,0.17,0.09,0.0,0.0,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24.0,1999.0,31.6,6,0,8,22.9,1.11,0.25,0.09,0.38,22.6,0,3,4,6.4,3.2,0.09,-0.4,-0.2,35,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25.0,1999.0,9.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30.0,1993.0,15.5,5,0,11,37.9,1.87,0.71,0.17,0.45,16.9,0,0,0,4.3,4.3,0.17,0.7,0.7,29,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25.0,1999.0,2.3,0,0,0,0.0,0.44,0.0,0.0,0.0,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
