rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_minus_pk,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_xg,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_receives,goals_assists_minus_pk,xg_plus_xag,MP,Starts,Min,season,table_type,processed_at
1,Max Aarons,ENG,DF,Bournemouth,Premier League,24.0,2000.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,3,1,86,2024-2025,stats_standard,2025-10-18 04:36:49.941898
2,Max Aarons,ENG,"DF,MF",Valencia,La Liga,24.0,2000.0,0,0,0,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.0,0.02,4,1,120,2024-2025,stats_standard,2025-10-18 04:36:49.941898
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21.0,2003.0,0,0,0,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.0,0.1,1,1,65,2024-2025,stats_standard,2025-10-18 04:36:49.941898
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,20.0,2004.0,0,0,0,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.0,0.06,6,0,88,2024-2025,stats_standard,2025-10-18 04:36:49.941898
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18.0,2006.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,1,0,3,2024-2025,stats_standard,2025-10-18 04:36:49.941898
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36.0,1987.0,0,0,0,11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.0,0.03,16,11,1033,2024-2025,stats_standard,2025-10-18 04:36:49.941898
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24.0,1999.0,0,0,0,31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.13,0.3,32,32,2842,2024-2025,stats_standard,2025-10-18 04:36:49.941898
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25.0,1999.0,0,0,0,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.0,0.0,12,10,855,2024-2025,stats_standard,2025-10-18 04:36:49.941898
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30.0,1993.0,0,0,0,15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.45,0.4,25,17,1393,2024-2025,stats_standard,2025-10-18 04:36:49.941898
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25.0,1999.0,0,0,0,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.44,0.09,4,2,205,2024-2025,stats_standard,2025-10-18 04:36:49.941898
11,Nabil Aberdin,FRA,MF,Getafe,La Liga,21.0,2002.0,0,0,0,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.0,0.02,7,4,263,2024-2025,stats_standard,2025-10-18 04:36:49.941898
12,Oliver Abildgaard,DEN,MF,Como,Serie A,28.0,1996.0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1,0,7,2024-2025,stats_standard,2025-10-18 04:36:49.941898
13,Matthis Abline,FRA,FW,Nantes,Ligue 1,21.0,2003.0,0,0,0,30.8,9,2,11,8,1,1,3,0,8.5,7.7,3.8,11.5,75,48,169,0.33,0.4,34,33,2768,2024-2025,stats_standard,2025-10-18 04:36:49.941898
14,Abner,BRA,DF,Lyon,Ligue 1,24.0,2000.0,0,0,0,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.17,0.14,19,12,1090,2024-2025,stats_standard,2025-10-18 04:36:49.941898
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24.0,2000.0,0,0,0,21.1,7,2,9,6,1,2,4,0,10.2,8.6,1.6,10.2,34,22,164,0.38,0.56,26,22,1901,2024-2025,stats_standard,2025-10-18 04:36:49.941898
16,Abdel Abqar,MAR,DF,Alavés,La Liga,25.0,1999.0,0,0,0,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.04,0.04,29,29,2463,2024-2025,stats_standard,2025-10-18 04:36:49.941898
17,Tammy Abraham,ENG,FW,Roma,Serie A,26.0,1997.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.0,0.0,1,0,1,2024-2025,stats_standard,2025-10-18 04:36:49.941898
