rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
1,Brenden Aaronson,USA,FW,Leeds United,Premier League,0.0,2000.0,4.4,12,2.72,8,0,0,3,0,3,0.68,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
2,Jones El-Abdellaoui,MAR,"MF,DF",Celta Vigo,La Liga,0.0,2006.0,0.4,4,10.59,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
3,Himad Abdelli,ALG,MF,Angers,Ligue 1,0.0,1999.0,2.1,6,2.84,4,2,0,0,0,1,0.47,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
4,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,0.0,1993.0,1.1,1,1.15,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
5,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,0.0,2000.0,2.2,2,0.9,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
6,Saud Abdulhamid,KSA,DF,Lens,Ligue 1,0.0,1999.0,0.9,4,4.5,4,0,0,0,0,1,1.13,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,7.0,11,1.57,9,1,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
8,Matthis Abline,FRA,"MF,FW",Nantes,Ligue 1,0.0,2003.0,4.9,17,3.45,11,0,2,3,1,1,0.2,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
9,Abner,BRA,DF,Lyon,Ligue 1,0.0,2000.0,3.6,6,1.67,4,0,1,1,0,1,0.28,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
10,Zakaria Aboukhlal,MAR,"FW,MF",Torino,Serie A,0.0,2000.0,1.3,2,1.51,1,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
11,Abdel Abqar,MAR,DF,Getafe,La Liga,0.0,1999.0,4.3,1,0.23,1,0,0,0,0,1,0.23,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
12,Francis Abu,GHA,MF,Toulouse,Ligue 1,0.0,2001.0,2.7,3,1.1,2,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
13,Giorgi Abuashvili,GEO,FW,Metz,Ligue 1,0.0,2003.0,1.7,4,2.38,1,2,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
14,Francesco Acerbi,ITA,DF,Inter,Serie A,0.0,1988.0,3.9,5,1.28,4,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
15,Ragnar Ache,GER,"FW,DF",Köln,Bundesliga,0.0,1998.0,2.1,4,1.89,3,0,0,1,0,2,0.95,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
16,Joshua Acheampong,ENG,DF,Chelsea,Premier League,0.0,2006.0,2.2,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
17,Akor Adams,NGA,FW,Sevilla,La Liga,0.0,2000.0,3.8,2,0.53,1,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
18,Che Adams,SCO,"FW,MF",Torino,Serie A,0.0,1996.0,1.8,5,2.76,3,0,1,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
19,Tyler Adams,USA,MF,Bournemouth,Premier League,0.0,1999.0,6.7,7,1.04,6,0,0,0,0,2,0.3,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
20,Junior Adamu,AUT,FW,Freiburg,Bundesliga,0.0,2001.0,2.6,4,1.56,2,0,0,1,0,2,0.78,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
21,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,0.0,1997.0,3.9,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
22,Jayden Addai,NED,FW,Como,Serie A,0.0,2005.0,2.0,4,1.97,3,0,1,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,0.0,2002.0,3.6,14,3.87,9,0,3,0,2,3,0.83,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
24,Simon Adingra,CIV,FW,Sunderland,Premier League,0.0,2002.0,3.0,8,2.64,7,0,1,0,0,1,0.33,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
25,Amine Adli,MAR,"FW,MF",Bournemouth,Premier League,0.0,2000.0,1.7,8,4.8,5,0,1,0,1,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
26,Vasilije Adžić,MNE,MF,Juventus,Serie A,0.0,2006.0,1.2,4,3.33,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
27,Michel Aebischer,SUI,MF,Pisa,Serie A,0.0,1997.0,4.5,11,2.46,8,1,1,0,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,7.4,4,0.54,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0.5,2,3.91,1,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,5.8,7,1.2,7,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,8.0,2,0.25,1,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,6.8,12,1.77,12,0,0,0,0,2,0.3,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
