rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
1,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000,8.0,14,0,0,2,0,10.8,0.29,-3.2,-0.4,30,102,29.4,224,37,32.1,31.8,0,0,0,115,10,8.7,14,1.75,15.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
2,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992,6.0,7,0,0,1,0,6.5,0.4,-0.5,-0.09,22,60,36.7,239,27,23.0,29.5,0,0,0,76,3,3.9,8,1.33,14.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
3,Alphonse Areola,FRA,GK,West Ham,Premier League,0.0,1993,3.0,5,1,0,2,0,3.9,0.24,-1.1,-0.35,11,48,22.9,82,15,41.5,35.4,0,0,0,49,2,4.1,0,0.0,5.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
4,Noah Atubolu,GER,GK,Freiburg,Bundesliga,0.0,2002,6.0,9,0,0,2,0,9.1,0.32,0.1,0.02,55,130,42.3,233,20,46.4,38.5,0,0,0,84,5,6.0,8,1.33,14.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
5,Emil Audero,IDN,GK,Cremonese,Serie A,0.0,1997,4.0,3,1,0,0,0,5.0,0.18,2.0,0.49,18,72,25.0,151,26,39.1,35.6,0,0,0,66,8,12.1,0,0.0,9.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
6,Mio Backhaus,GER,GK,Werder Bremen,Bundesliga,0.0,2004,4.0,10,2,0,0,1,7.4,0.36,-1.6,-0.4,7,19,36.8,134,23,11.2,26.1,0,0,0,66,8,12.1,5,1.25,11.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
7,Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,0.0,1996,8.0,10,2,0,1,0,11.2,0.31,1.2,0.14,51,138,37.0,267,32,43.8,39.9,0,0,0,94,10,10.6,23,2.88,18.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
8,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,0.0,1990,6.0,12,2,0,3,0,10.4,0.33,-1.6,-0.27,25,76,32.9,171,14,38.0,34.6,0,0,0,88,3,3.4,19,3.17,19.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
9,Altay Bayındır,TUR,GK,Manchester Utd,Premier League,0.0,1998,6.0,11,0,0,2,0,9.4,0.43,-1.6,-0.26,28,95,29.5,176,15,47.7,37.5,0,0,0,63,6,9.5,7,1.17,13.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
10,Marco Bizot,NED,GK,Aston Villa,Premier League,0.0,1991,2.0,3,1,0,0,0,3.1,0.33,0.1,0.05,7,27,25.9,53,8,30.2,32.2,0,0,0,28,4,14.3,10,5.0,18.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
11,Arnaud Bodart,BEL,GK,Lille,Ligue 1,0.0,1998,1.0,1,0,0,0,0,1.6,0.79,0.6,0.57,8,14,57.1,28,2,42.9,34.8,0,0,0,9,0,0.0,1,1.0,13.5,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
