rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
1,Brenden Aaronson,USA,FW,Leeds United,Premier League,0.0,2000.0,4.4,1,0,0,3,0,0,0,2,9,0,0,0,18,3,5,37.5,13,0,6,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
2,Jones El-Abdellaoui,MAR,"MF,DF",Celta Vigo,La Liga,0.0,2006.0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,100.0,0,0,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
3,Himad Abdelli,ALG,MF,Angers,Ligue 1,0.0,1999.0,2.1,0,0,0,2,0,0,0,5,2,0,0,0,9,1,0,100.0,2,0,7,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
4,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,0.0,1993.0,1.1,2,1,1,2,0,0,0,2,0,0,0,0,5,0,3,0.0,1,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
5,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,0.0,2000.0,2.2,1,0,0,5,0,0,0,4,0,0,0,0,7,3,2,60.0,2,0,0,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
6,Saud Abdulhamid,KSA,DF,Lens,Ligue 1,0.0,1999.0,0.9,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0.0,1,0,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,7.0,3,0,0,10,0,0,0,3,8,0,1,0,29,4,2,66.7,7,0,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
8,Matthis Abline,FRA,"MF,FW",Nantes,Ligue 1,0.0,2003.0,4.9,0,0,0,10,0,0,0,2,2,0,0,0,16,7,4,63.6,8,0,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
9,Abner,BRA,DF,Lyon,Ligue 1,0.0,2000.0,3.6,2,0,0,6,0,0,0,2,5,0,0,0,8,2,2,50.0,1,0,5,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
10,Zakaria Aboukhlal,MAR,"FW,MF",Torino,Serie A,0.0,2000.0,1.3,1,0,0,3,0,0,0,0,4,0,0,0,7,1,4,20.0,4,2,2,0,2025-2026,stats_misc,2025-10-18 04:36:53.902157
