rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_completed,passes_attempted,pass_completion_pct,total_distance,progressive_distance,assists,expected_assists,expected_assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,expected_assists_xa,season,table_type,processed_at
1,Brenden Aaronson,USA,FW,Leeds United,Premier League,0.0,2000.0,4.4,86,109,78.9,1167,261,0,0.7,-0.7,5,8,3,0,13,0.8,2025-2026,stats_passing,2025-10-18 04:36:54.414223
2,Jones El-Abdellaoui,MAR,"MF,DF",Celta Vigo,La Liga,0.0,2006.0,0.4,21,26,80.8,320,36,0,0.1,-0.1,2,0,1,1,0,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
3,Himad Abdelli,ALG,MF,Angers,Ligue 1,0.0,1999.0,2.1,86,110,78.2,1535,573,0,0.2,-0.2,2,13,3,0,19,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
4,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,0.0,1993.0,1.1,22,30,73.3,309,134,0,0.0,0.0,0,3,1,0,1,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
5,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,0.0,2000.0,2.2,98,105,93.3,1368,285,0,0.0,0.0,0,7,0,0,2,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
6,Saud Abdulhamid,KSA,DF,Lens,Ligue 1,0.0,1999.0,0.9,48,59,81.4,674,290,1,0.5,0.5,2,1,2,0,7,0.8,2025-2026,stats_passing,2025-10-18 04:36:54.414223
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,7.0,409,465,88.0,7874,2313,0,0.4,-0.4,5,51,4,1,40,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
8,Matthis Abline,FRA,"MF,FW",Nantes,Ligue 1,0.0,2003.0,4.9,55,84,65.5,809,244,1,0.4,0.6,6,7,6,1,12,0.9,2025-2026,stats_passing,2025-10-18 04:36:54.414223
9,Abner,BRA,DF,Lyon,Ligue 1,0.0,2000.0,3.6,129,154,83.8,2028,833,0,0.2,-0.2,2,15,5,1,15,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
10,Zakaria Aboukhlal,MAR,"FW,MF",Torino,Serie A,0.0,2000.0,1.3,17,24,70.8,268,111,0,0.0,0.0,0,1,1,1,3,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
11,Abdel Abqar,MAR,DF,Getafe,La Liga,0.0,1999.0,4.3,97,131,74.0,2157,571,1,0.2,0.8,1,6,0,0,4,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
12,Francis Abu,GHA,MF,Toulouse,Ligue 1,0.0,2001.0,2.7,90,110,81.8,1389,385,0,0.0,0.0,0,6,1,0,9,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
13,Giorgi Abuashvili,GEO,FW,Metz,Ligue 1,0.0,2003.0,1.7,54,61,88.5,944,275,0,0.1,-0.1,2,6,1,1,6,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
14,Francesco Acerbi,ITA,DF,Inter,Serie A,0.0,1988.0,3.9,259,271,95.6,5004,1282,0,0.1,-0.1,2,14,2,1,16,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
15,Ragnar Ache,GER,"FW,DF",Köln,Bundesliga,0.0,1998.0,2.1,28,39,71.8,331,61,2,0.7,1.3,3,2,2,0,5,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
16,Joshua Acheampong,ENG,DF,Chelsea,Premier League,0.0,2006.0,2.2,135,152,88.8,2261,441,0,0.0,0.0,0,0,0,0,4,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
17,Akor Adams,NGA,FW,Sevilla,La Liga,0.0,2000.0,3.8,31,57,54.4,474,67,1,0.1,0.9,1,1,2,0,5,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
18,Che Adams,SCO,"FW,MF",Torino,Serie A,0.0,1996.0,1.8,30,45,66.7,377,46,0,0.1,-0.1,2,1,1,0,1,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
19,Tyler Adams,USA,MF,Bournemouth,Premier League,0.0,1999.0,6.7,286,343,83.4,4935,1267,0,0.0,0.0,1,29,0,0,31,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
20,Junior Adamu,AUT,FW,Freiburg,Bundesliga,0.0,2001.0,2.6,22,47,46.8,285,55,1,1.0,0.0,2,0,1,1,1,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
21,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,0.0,1997.0,3.9,314,349,90.0,5739,1990,0,0.0,0.0,0,17,1,0,15,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
22,Jayden Addai,NED,FW,Como,Serie A,0.0,2005.0,2.0,31,50,62.0,508,112,0,0.1,-0.1,2,2,2,0,5,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,0.0,2002.0,3.6,58,91,63.7,816,137,1,1.0,0.0,4,4,0,0,7,1.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
24,Simon Adingra,CIV,FW,Sunderland,Premier League,0.0,2002.0,3.0,48,69,69.6,803,94,0,0.6,-0.6,5,0,4,2,2,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
25,Amine Adli,MAR,"FW,MF",Bournemouth,Premier League,0.0,2000.0,1.7,54,74,73.0,748,176,0,0.2,-0.2,4,1,1,0,5,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
26,Vasilije Adžić,MNE,MF,Juventus,Serie A,0.0,2006.0,1.2,43,58,74.1,721,186,0,0.1,-0.1,3,4,2,0,7,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
27,Michel Aebischer,SUI,MF,Pisa,Serie A,0.0,1997.0,4.5,181,213,85.0,3389,849,0,0.4,-0.4,2,16,3,0,23,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,7.4,417,461,90.5,7036,2346,0,0.1,-0.1,1,26,4,0,22,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0.5,8,15,53.3,158,46,0,0.0,0.0,0,0,1,1,1,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
