rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_attempted,passes_live,passes_dead,passes_free_kick,passes_through_ball,passes_switched,passes_crosses,passes_throw_in,passes_corner_kick,passes_in,passes_out,passes_straight,passes_completed,passes_offsides,passes_blocks,season,table_type,processed_at
1,Brenden Aaronson,USA,FW,Leeds United,Premier League,0.0,2000.0,4.4,109,97,10,2,1,0,6,4,0,0,0,0,86,2,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
2,Jones El-Abdellaoui,MAR,"MF,DF",Celta Vigo,La Liga,0.0,2006.0,0.4,26,22,4,0,0,0,5,4,0,0,0,0,21,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
3,Himad Abdelli,ALG,MF,Angers,Ligue 1,0.0,1999.0,2.1,110,101,9,1,1,0,7,1,5,4,1,0,86,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
4,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,0.0,1993.0,1.1,30,21,9,1,0,0,2,8,0,0,0,0,22,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
5,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,0.0,2000.0,2.2,105,103,2,2,0,0,0,0,0,0,0,0,98,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
6,Saud Abdulhamid,KSA,DF,Lens,Ligue 1,0.0,1999.0,0.9,59,51,8,0,0,0,5,8,0,0,0,0,48,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,7.0,465,439,25,25,1,2,2,0,0,0,0,0,409,1,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
8,Matthis Abline,FRA,"MF,FW",Nantes,Ligue 1,0.0,2003.0,4.9,84,82,2,0,0,1,5,0,0,0,0,0,55,0,7,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
9,Abner,BRA,DF,Lyon,Ligue 1,0.0,2000.0,3.6,154,129,24,3,1,1,5,20,1,0,0,0,129,1,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
10,Zakaria Aboukhlal,MAR,"FW,MF",Torino,Serie A,0.0,2000.0,1.3,24,23,1,0,0,0,2,1,0,0,0,0,17,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
11,Abdel Abqar,MAR,DF,Getafe,La Liga,0.0,1999.0,4.3,131,121,10,8,0,7,0,2,0,0,0,0,97,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
12,Francis Abu,GHA,MF,Toulouse,Ligue 1,0.0,2001.0,2.7,110,110,0,0,0,1,0,0,0,0,0,0,90,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
13,Giorgi Abuashvili,GEO,FW,Metz,Ligue 1,0.0,2003.0,1.7,61,54,7,0,0,2,6,3,4,0,3,0,54,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
14,Francesco Acerbi,ITA,DF,Inter,Serie A,0.0,1988.0,3.9,271,266,5,4,0,0,1,0,0,0,0,0,259,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
15,Ragnar Ache,GER,"FW,DF",Köln,Bundesliga,0.0,1998.0,2.1,39,38,1,0,0,0,0,0,0,0,0,0,28,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
16,Joshua Acheampong,ENG,DF,Chelsea,Premier League,0.0,2006.0,2.2,152,148,4,3,0,0,0,0,0,0,0,0,135,0,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
17,Akor Adams,NGA,FW,Sevilla,La Liga,0.0,2000.0,3.8,57,52,5,0,0,0,5,0,0,0,0,0,31,0,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
18,Che Adams,SCO,"FW,MF",Torino,Serie A,0.0,1996.0,1.8,45,43,1,0,0,0,4,0,0,0,0,0,30,1,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
19,Tyler Adams,USA,MF,Bournemouth,Premier League,0.0,1999.0,6.7,343,328,15,15,0,2,0,0,0,0,0,0,286,0,9,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
20,Junior Adamu,AUT,FW,Freiburg,Bundesliga,0.0,2001.0,2.6,47,46,1,0,0,0,1,0,0,0,0,0,22,0,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
21,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,0.0,1997.0,3.9,349,328,19,7,0,1,0,2,0,0,0,0,314,2,2,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
22,Jayden Addai,NED,FW,Como,Serie A,0.0,2005.0,2.0,50,50,0,0,0,2,2,0,0,0,0,0,31,0,3,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
23,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,0.0,2002.0,3.6,91,86,5,0,1,1,2,5,0,0,0,0,58,0,7,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
24,Simon Adingra,CIV,FW,Sunderland,Premier League,0.0,2002.0,3.0,69,68,1,0,1,0,12,1,0,0,0,0,48,0,9,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
25,Amine Adli,MAR,"FW,MF",Bournemouth,Premier League,0.0,2000.0,1.7,74,68,6,0,1,1,7,4,2,2,0,0,54,0,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
26,Vasilije Adžić,MNE,MF,Juventus,Serie A,0.0,2006.0,1.2,58,53,3,2,0,1,1,1,0,0,0,0,43,2,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
27,Michel Aebischer,SUI,MF,Pisa,Serie A,0.0,1997.0,4.5,213,199,13,7,0,1,1,1,1,0,0,0,181,1,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,7.4,461,441,20,13,0,4,0,1,0,0,0,0,417,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0.5,15,15,0,0,1,0,4,0,0,0,0,0,8,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,5.8,362,338,23,12,1,3,8,10,0,0,0,0,287,1,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,8.0,279,204,75,20,0,0,0,0,0,0,0,0,200,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,6.8,291,277,9,6,2,2,4,2,1,0,0,0,232,5,6,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
33,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,0.0,1999.0,5.4,248,194,54,5,0,3,7,49,0,0,0,0,198,0,8,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
34,Marc Aguado,ESP,MF,Elche,La Liga,0.0,2000.0,4.4,275,271,3,3,0,0,0,0,0,0,0,0,252,1,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,0.0,1996.0,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
36,Nayef Aguerd,MAR,DF,Marseille,Ligue 1,0.0,1996.0,4.0,337,318,19,9,0,2,0,0,0,0,0,0,312,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,0.0,1993.0,6.1,297,249,45,2,0,0,25,43,0,0,0,0,236,3,7,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
38,Honest Ahanor,ITA,DF,Atalanta,Serie A,0.0,2008.0,2.7,121,119,2,2,0,1,1,0,0,0,0,0,103,0,1,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
39,Lucas Ahijado,ESP,DF,Oviedo,La Liga,0.0,1995.0,4.1,193,149,43,0,2,2,4,43,0,0,0,0,146,1,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
40,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,0.0,1996.0,3.0,157,131,26,5,0,1,13,20,1,0,0,0,125,0,5,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
41,Abdelhamid Ait Boudlal,MAR,DF,Rennes,Ligue 1,0.0,2006.0,0.8,33,30,3,3,0,0,0,0,0,0,0,0,28,0,0,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
42,Rayan Aït-Nouri,ALG,DF,Manchester City,Premier League,0.0,2001.0,2.2,121,100,21,2,0,0,2,19,0,0,0,0,105,0,6,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,0.0,1998.0,4.4,84,82,1,0,1,0,2,1,0,0,0,0,62,1,4,2025-2026,stats_passing_types,2025-10-18 04:36:54.599552
